#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
68,UAE,"1,039,090",,"2,348 ",,"1,018,118",,"18,624",,"103,066",233,"195,910,436","19,432,118","10,081,785 ",Asia,"104,2940",,,"1,847",
69,Ecuador,"1,009,044",,"35,934 ",,"970,988",,"2,122",759,"55,707","1,984","3,082,403","170,173","18,113,361 ",South America,185046,,,117,
70,Nepal,"1,000,708",,"12,019 ",,"988,127",,562,,"33,108",398,"5,961,751","197,242","30,225,582 ",Asia,"302,5155",,,19,
71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,"91,3251",,,141,
72,Uruguay,"990,560",,"7,518 ",,"982,103",,939,18,"283,340","2,150","6,114,822","1,749,083","3,496,016 ",South America,44651,,,269,
73,Panama,"990,413",,"8,509 ",,"980,898",,"1,006",16,"222,717","1,913","7,164,655","1,611,134","4,446,964 ",North America,45231,,,226,
74,Mongolia,"985,445",,"2,179 ",,"982,074",,"1,192",192,"291,718",645,"4,030,048","1,193,000","3,378,078 ",Asia,"31,5501",,,353,
75,Latvia,"954,230",,"6,062 ",,"941,500",,"6,668",3,"516,124","3,279","7,746,372","4,189,862","1,848,837 ",Europe,23050,,,"3,607",
76,Azerbaijan,"823,496",,"9,955 ",,"813,254",,287,,"79,949",966,"7,331,317","711,764","10,300,205 ",Asia,"131,0351",,,28,
77,Saudi Arabia,"823,494",,"9,417 ",,"809,725",,"4,352",82,"22,974",263,"44,657,732","1,245,860","35,844,909 ",Asia,"443,8061",,,121,
78,Paraguay,"717,980",,"19,606 ",,"698,317",,57,7,"98,275","2,684","2,657,506","363,751","7,305,843 ",South America,103733,,,8,
79,Bahrain,"691,509",,"1,529 ",,"687,721",,"2,259",4,"387,621",857,"10,508,378","5,890,403","1,783,983 ",Asia,"31,1670",,,"1,266",
80,Sri Lanka,"671,320",,"16,782 ",,"654,437",,101,,"31,114",778,"6,486,117","300,619","21,575,842 ",Asia,"321,2863",,,5,
81,Kuwait,"662,073",,"2,568 ",,"659,017",,488,3,"151,147",586,"8,416,379","1,921,405","4,380,326 ",Asia,"71,7061",,,111,
82,Dominican Republic,"647,205",,"4,384 ",,"642,571",,250,4,"58,537",397,"3,657,057","330,765","11,056,370 ",North America,"172,5223",,,23,
83,Myanmar,"632,229",,"19,485 ",,"606,393",,"6,351",,"11,448",353,"9,459,963","171,292","55,227,143 ",Asia,"872,8346",,,115,
84,Palestine,"620,816",,"5,404 ",,"614,962",,450,17,"116,137","1,011","3,078,533","575,907","5,345,541 ",Asia,99892,,,84,
85,Estonia,"607,230",,"2,748 ",,"524,990",,"79,492",6,"459,358","2,079","3,579,101","2,707,522","1,321,910 ",Europe,24810,,,"60,134",
86,Cyprus,"602,662",,"1,200 ",,"592,342",,"9,120",60,"492,618",981,"9,640,118","7,879,860","1,223,387 ",Asia,"21,0190",,,"7,455",
87,Moldova,"593,816",,"11,894 ",,"504,142",,"77,780",49,"147,967","2,964","3,216,305","801,437","4,013,171 ",Europe,73371,,,"19,381",
88,Venezuela,"546,047",,"5,821 ",,"539,655",,571,36,"18,657",199,"3,359,014","114,771","29,266,991 ",South America,"545,0289",,,20,
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,"2064,31329",,,460,
90,Libya,"507,051",,"6,437 ",,"500,571",,43,,"72,017",914,"2,483,005","352,662","7,040,745 ",Africa,"141,0943",,,6,
91,Ethiopia,"494,039",,"7,572 ",,"472,142",,"14,325",,"4,089",63,"5,324,880","44,075","120,812,698 ",Africa,"24515,95523",,,119,
92,Réunion,"474,111",,899 ,,"418,572",,"54,640",10,"522,114",990,"1,603,660","1,766,027","908,061 ",Africa,"21,0101",,,"60,172",
93,Qatar,"471,004",,684 ,,"468,828",,"1,492",2,"158,060",230,"4,049,750","1,359,015","2,979,915 ",Asia,"64,3571",,,501,
94,Honduras,"457,196",,"11,039 ",,N/A,N/A,N/A,105,"44,730","1,080","1,549,348","151,581","10,221,247 ",North America,229267,,,"30,682",
95,Armenia,"445,242",,"8,709 ",,"434,288",,"2,245",,"149,814","2,930","3,228,468","1,086,307","2,971,966 ",Asia,73411,,,755,
